Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Aburrá Sur,AS6-2013-3,Archivado,Jurídica,Privada,Itaguí,No registrado,Los Gómez,Operación de calderas,130AS-1411-8766,Por la cual se otorga un permiso,05/11/2014
Tahamíes,TH6-2015-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,No aplica,160TH-RES1804-2310,Por la cual se resuelve un recurso de reposición,26/04/2018
Aburrá Norte,AN6-2014-3,Activo,Jurídica,Privada,Medellín,Altavista,Aguas Frias,No aplica,160AN-1506-16948,Por la cual se prorroga un permiso,11/06/2015
Aburrá Norte,AN6-2018-5,Activo,Jurídica,Privada,Girardota,No registrado,San Diego,Explotación minera,160AN-RES1903-1455,Por la cual se otorga un permiso,20/03/2019
Cartama,CA6-2013-1,Archivado,Jurídica,-No aplica-,Fredonia,Puente Iglesias,No registrada,Quemas abiertas controladas en zonas rurales,130CA-1311-8163,Por la cual se rechaza una solicitud,01/11/2013
Zenufaná,ZF6-2004-17,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1103-4329,Por la cual se niega un permiso,04/03/2011
Zenufaná,ZF6-2008-3,Archivado,Jurídica,Privada,Caracolí,No registrado,Canalones,Incineración de Residuos Sólidos,130ZF-3158,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,04/09/2008
Zenufaná,ZF6-2004-7,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-3781,Por la cual se archiva un expediente,27/11/2009
Zenufaná,ZF6-2008-4,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Explotación minera,130ZF-1201-4885,Por la cual se adopta una decisión,18/01/2012
Zenufaná,ZF6-2009-2,Archivado,Jurídica,Privada,Yalí,No registrado,San Pedrito,Quemas abiertas controladas en zonas rurales,130ZF-1105-4454,Por la cual se adopta una decisión,12/05/2011
Aburrá Sur,AS6-2007-2,Archivado,Jurídica,Privada,Envigado,No registrado,No registrada,No aplica,130AS-4388,Por la cual se toma una determinación,09/01/2008
Cartama,CA6-2016-1,Archivado,Jurídica,Privada,Venecia,Bolombolo,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),160CA-1609-10399,Por la cual se otorga un permiso,08/09/2016
Aburrá Sur,AS6-2019-13,Archivado,Jurídica,Privada,Itaguí,No registrado,El Ajizal,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES2112-9239,Por la cual se resuelve un recurso de reposición,28/12/2021
Zenufaná,ZF6-2007-5,Activo,Jurídica,Publica,Puerto Nare,La Sierra,No registrada,Operación de plantas termoeléctricas,160ZF-RES2010-6090,Por la cual se resuelve un recurso de reposición,29/10/2020
Aburrá Sur,AS6-2008-2,Archivado,Jurídica,Privada,Amagá,No registrado,Piedecuesta,Operación de calderas,160AS-1612-10503,Por la cual se declara una caducidad,30/12/2016
Aburrá Norte,AN6-2009-1,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Emisiones de contaminantes por explotación minera,160AN-RES2305-1889,Por la cual se otorga un permiso,11/05/2023
Aburrá Sur,AS6-2023-5,Activo,Jurídica,Privada,Heliconia,No registrado,Joly,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES2404-1619,Por la cual se archiva un expediente,29/04/2024
Zenufaná,ZF6-2010-4,Archivado,Jurídica,Privada,Caracolí,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1309-6154,Por la cual se archiva un expediente,24/09/2013
Aburrá Norte,AN6-2019-12,Activo,Jurídica,Privada,Girardota,No registrado,San Andres,Explotación minera,160AN-RES2006-3066,Por la cual se otorga un plazo adicional,03/06/2020
Aburrá Norte,AN6-2019-12,Activo,Jurídica,Privada,Girardota,No registrado,San Andres,Explotación minera,160AN-RES2503-1097,Por la cual se prorroga un permiso,26/03/2025
Tahamíes,TH6-2010-3,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),130TH-7952,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,20/09/2010
Tahamíes,TH6-2015-1,Activo,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Operación de calderas,160TH-RES2202-653,Por la cual se adopta una decisión,08/02/2022
Aburrá Norte,AN6-2005-4,Archivado,Jurídica,Privada,Medellín,Altavista,Aguas Frias,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-1101-11056,Por la cual se prorroga un permiso,19/01/2011
Aburrá Norte,AN6-2008-4,Archivado,Jurídica,Privada,Medellín,Altavista,No registrada,Operación de calderas,160AN-RES1703-1414,Por la cual se impone una medida preventiva,21/03/2017
Zenufaná,ZF6-2011-8,Archivado,Jurídica,Privada,Vegachí,No registrado,El Olvido,Quemas abiertas controladas en zonas rurales,160ZF-RES1810-5782,Por la cual se archiva un expediente,23/10/2018
Hevéxicos,HX6-2020-11,Activo,Jurídica,Privada,San Jerónimo,No registrado,No registrada,No aplica,160HX-RES2501-40,Por la cual se otorga el certificado en materia de revisión de gases,08/01/2025
Aburrá Norte,AN6-1996-5,Archivado,Jurídica,Privada,Bello,No registrado,Granizal,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-2370,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,23/06/2004
Zenufaná,ZF6-2012-5,Archivado,Jurídica,Privada,Yalí,No registrado,San Pedrito,Quemas abiertas controladas en zonas rurales,130ZF-1305-5945,Por la cual se otorga un permiso,17/05/2013
Panzenú,PZ6-2021-3,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Industrial,160PZ-RES2104-2376,Por la cual se niega un permiso,28/04/2021
Tahamíes,TH6-2020-7,Archivado,Natural,-No aplica-,Donmatías,No registrado,Mocorongo,Emisiones de contaminantes por explotación minera,160TH-RES2011-6574,Por la cual se termina anticipadamente un trámite o permiso,23/11/2020
Zenufaná,ZF6-2009-12,Archivado,Jurídica,Privada,Vegachí,No registrado,El Pescado,Quemas abiertas controladas en zonas rurales,130ZF-1201-4900,Por la cual se adopta una decisión,20/01/2012
Tahamíes,TH6-1996-4,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Industrial,160TH-RES1702-700,Por la cual se archiva un expediente,13/02/2017
Tahamíes,TH6-1996-123,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Industrial,130TH-5755,Por la cual se prorroga un permiso de emisiones atmosféricas para fuentes fijas,16/02/2007
Aburrá Norte,AN6-2010-1,Activo,Jurídica,Privada,Bello,No registrado,El Pinar,Explotación minera,160AN-COI1906-13844,Citación notificación,06/06/2019
