Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Panzenú,PZ8-2015-65,03/29/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2016-25,04/17/2024 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2011-7,09/26/2013 12:00:00 AM,Archivado,Jurídica,Privada,Santa Fé De Antioquia,Gaviones,Permanente
Aburrá Norte,AN8-2014-59,08/09/2018 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-17,12/19/2022 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2011-16,08/16/2019 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2021-30,06/04/2021 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2013-2,10/09/2019 12:00:00 AM,Archivado,Jurídica,Pública,Belmira,Muro contención en concreto,Permanente
Aburrá Sur,AS8-2009-19,06/14/2013 12:00:00 AM,Archivado,Jurídica,Privada,Itaguí,Alcantarillado,Permanente
Zenufaná,ZF8-2018-63,12/16/2021 12:00:00 AM,Archivado,Jurídica,Privada,Segovia,Canalización en U,Permanente
Secretaría Ambiental De Envigado,SAE8-2014-14,12/23/2014 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización Trapezoidal,Permanente
Panzenú,PZ8-2010-6,12/17/2010 12:00:00 AM,Archivado,Jurídica,Privada,Nechí,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-5,05/25/2022 12:00:00 AM,Archivado,Natural,-No aplica-,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2022-86,03/28/2023 12:00:00 AM,Activo,Jurídica,Privada,Caldas,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2011-16,09/23/2011 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-61,09/18/2019 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-17,08/08/2018 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Puente,Provisional
Secretaría Ambiental De Envigado,SAE8-2014-12,08/15/2023 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización Trapezoidal,Permanente
Aburrá Sur,AS8-2008-5,12/15/2022 12:00:00 AM,Archivado,Jurídica,Privada,Titiribí,Cobertura en Cajón,Permanente
