Expediente,Territorial,Municipio,Naturaleza,Tipo_empresa,Producto,Cantidad,Unidades
PZ5-2010-26,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,0,0
CI5-2013-5,Citará,Ciudad Bolívar,Natural,-No aplica-,Guadua,-1,No registra
CI5-2023-75,Citará,Betania,Natural,-No aplica-,Guadua,-1,No registra
CA5-2011-9,Cartama,Fredonia,Natural,-No aplica-,Cañabrava,-1,No registra
CA5-2014-17,Cartama,Támesis,Jurídica,Privada,Guadua,4500,4500
CA5-2014-17,Cartama,Támesis,Jurídica,Privada,Guadua,4500,4500
CA5-2015-14,Cartama,Támesis,Natural,-No aplica-,Guadua,-1,No registra
CA5-2012-22,Cartama,Valparaíso,Natural,-No aplica-,Guadua,-1,No registra
TH5-2007-2,Tahamíes,Santa Rosa De Osos,Natural,-No aplica-,Flores,-1,No registra
CI5-2019-58,Citará,Hispania,Jurídica,Privada,Guadua,0,0
CI5-2019-326,Citará,Hispania,Jurídica,Privada,Guadua,951,metros cubicos
CI5-2019-326,Citará,Hispania,Jurídica,Privada,Guadua,951,metros cubicos
CI5-2017-162,Citará,Betania,Natural,-No aplica-,Guadua,40,Guaduas
CI5-2017-162,Citará,Betania,Natural,-No aplica-,Guadua,40,Guaduas
CI5-2023-91,Citará,Hispania,Jurídica,Publica,Guadua,-1,No registra
TH5-2023-148,Tahamíes,Santa Rosa De Osos,Jurídica,Privada,Semillas,-1,No registra
CI5-2022-70,Citará,Salgar,Natural,-No aplica-,Semillas,-1,No registra
PZ5-2018-2,Panzenú,Caucasia,Natural,-No aplica-,Astillas,1,1
PZ5-2007-12,Panzenú,El Bagre,Natural,-No aplica-,Resinas,-1,No registra
ZF5-2018-322,Zenufaná,Maceo,Jurídica,Privada,Semillas,400,400 equvalentes a 10 conos femeninos
ZF5-2018-322,Zenufaná,Maceo,Jurídica,Privada,Semillas,400,400 equvalentes a 10 conos femeninos
PZ5-2019-340,Panzenú,Zaragoza,Natural,-No aplica-,Astillas,3.92,56
CA5-2023-103,Cartama,Venecia,Jurídica,Publica,Guadua,7511,7511
CA5-2024-13,Cartama,Venecia,Natural,-No aplica-,Guadua,-1,No registra
CI5-2017-281,Citará,Concordia,Jurídica,Privada,Guadua,87.5,875
CI5-2017-281,Citará,Concordia,Jurídica,Privada,Guadua,87.5,875
ZF5-2022-97,Zenufaná,Amalfi,Jurídica,Publica,Guadua,-1,No registra
CA5-2009-14,Cartama,Tarso,Natural,-No aplica-,Cortezas,400,Guaduas
CA5-2020-106,Cartama,Caramanta,Natural,-No aplica-,Cañabrava,-1,No registra
CA5-2002-22,Cartama,Fredonia,Jurídica,Privada,Cortezas,1598,Unidades de Guadua
